basepolity,period_start,latitude,longitude,polity_territory,temperature,polity_population,cc_infra,kinship1
IrPart1,-200,28.497017,68.229736,280000,24.426178,50000,1,.15359354
IrAwanE,-2500,31.361706,48.732086,200000,24.426359,184080,.66666669,-.016698107
IrKhzL,-4600,31.361706,48.732086,8632,24.433241,393281,.25555557,.16763914
IrSeljq,1100,38.287216,33.17897,4000000,24.440847,12100000,1,.6364994
IrBuyid,1100,31.361706,48.732086,900000,24.440847,4500000,.8888889,.6364994
IrSeleu,-100,38.287216,33.17897,425000,24.441423,30000000,1,.023489481
IqNAssr,-100,31.361706,48.732086,1400000,24.441423,8605779,.8888889,.057259429
IrElym1,-100,31.361706,48.732086,169792,24.441423,1988469,.83916539,.10985047
IrPart1,-100,28.497017,68.229736,2000000,24.441423,5450000,1,.16138445
IrSusa2,-3700,31.361706,48.732086,8942,24.449524,10000,.5777778,-.17592233
IrFars,1300,31.361706,48.732086,204731,24.449686,2381287,.85113281,-.086107209
TmKhwrz,1300,39.874771,65.378059,3600000,24.449686,10973907,.44444445,.10578668
IrIlkhn,1300,38.287216,33.17897,3800000,24.449686,5250000,1,.6364994
IqAbbs2,1300,31.361706,48.732086,750000,24.449686,3900000,.8888889,.6364994
PkCeraN,-4200,28.497017,68.229736,1449,24.451212,184201,.37777779,-.48991495
IrKhzL,-4400,31.361706,48.732086,8536,24.460079,388941,.25555557,.16686216
PkCeraN,-4600,28.497017,68.229736,1452,24.463818,178679,.37777779,-.48934776
IrSusa2,-3800,31.361706,48.732086,29267,24.463865,58968,.5777778,-.24942075
IrSusa1,-3800,31.361706,48.732086,696,24.463865,800,.25555557,.2356317
IrMedes,-500,31.361706,48.732086,2500000,24.463875,51887314,.22222222,-.21988577
IqNAssr,-500,31.361706,48.732086,1400000,24.463875,15486160,.8888889,.04700496
IrNElm3,-500,31.361706,48.732086,37385,24.463875,6987335,.55555558,.051812723
IrAchae,-500,28.497017,68.229736,5500000,24.463875,20000000,1,.55458611
IrSukkE,-1900,31.361706,48.732086,18184,24.483276,299057,.66666669,.11007621
IrShima,-1900,31.361706,48.732086,96776,24.483276,1159925,.33333334,.20097037
IrMedes,-600,31.361706,48.732086,2500000,24.483377,42114514,.22222222,-.22057073
IrNElm2,-600,31.361706,48.732086,300000,24.483377,14113197,.55555558,-.01700761
IrNElm3,-600,31.361706,48.732086,39300,24.483377,6954922,.55555558,.044653006
IqNAssr,-600,31.361706,48.732086,1400000,24.483377,13456816,.8888889,.049452938
IrSusa3,-3000,31.361706,48.732086,37399,24.484171,132201,.5777778,-.1497087
IrAwanE,-2400,31.361706,48.732086,200000,24.485224,189732,.66666669,-.017416688
IqNAssr,-800,31.361706,48.732086,1400000,24.485689,15253751,.8888889,.048239026
IrNElm1,-800,31.361706,48.732086,220284,24.485689,3195326,.22222222,.16587692
IrAwanE,-2200,31.361706,48.732086,200000,24.502392,155891,.66666669,-.012957057
IqAkkad,-2200,31.361706,48.732086,185385,24.502392,362998,.77777779,.22191495
IrSukkL,-1500,31.361706,48.732086,11398,24.505722,370496,.66666669,.099974573
IrMElm1,-1500,31.361706,48.732086,230000,24.505722,843605,.55555558,.1978327
IrSafvd,1700,31.361706,48.732086,2700000,24.506184,9000000,1,.6364994
IrAwanE,-2300,31.361706,48.732086,200000,24.511099,191496,.66666669,-.017627927
IrMedes,-700,31.361706,48.732086,2500000,24.514303,36664393,.22222222,-.37375557
IrNElm2,-700,31.361706,48.732086,300000,24.514303,12141238,.55555558,-.027391585
IqNAssr,-700,31.361706,48.732086,1400000,24.514303,15009941,.8888889,.047561251
IrNElm1,-700,31.361706,48.732086,320049,24.514303,3313079,.22222222,.14576946
IrSusa2,-3300,31.361706,48.732086,21936,24.517622,21000,.5777778,-.18449917
IrSukkL,-1600,31.361706,48.732086,16043,24.521744,408774,.66666669,.091990009
PkCeraN,-4800,28.497017,68.229736,1454,24.523687,175979,.37777779,-.4890635
IqAbbs1,900,28.497017,68.229736,1000000,24.52689,9000000,1,.6364994
IqNAssr,-400,31.361706,48.732086,1400000,24.529232,17011281,.8888889,.045073591
IrAchae,-400,28.497017,68.229736,3800000,24.529232,17000000,1,.52549195
IrMElm1,-1400,31.361706,48.732086,230000,24.530266,1105380,.55555558,.19531061
IrSeleu,0,38.287216,33.17897,425000,24.538301,30000000,1,.023489481
IqNAssr,0,31.361706,48.732086,1400000,24.538301,7756138,.8888889,.059111882
IrPart1,0,28.497017,68.229736,3000000,24.538301,25000000,1,.14589302
PkChalc,-3600,28.497017,68.229736,2753,24.542046,393512,.48888889,-.44170937
IqAbbs1,1000,28.497017,68.229736,1000000,24.544054,9000000,1,.6364994
IrBuyid,1000,31.361706,48.732086,900000,24.544054,4500000,.8888889,.6364994
AfAfshr,1800,28.497017,68.229736,279835,24.565657,2149759,.92464823,.083932593
IrQajar,1800,31.361706,48.732086,146813,24.565657,1984212,.81265783,.6364994
IrSafvd,1800,31.361706,48.732086,2700000,24.565657,9000000,1,.6364994
PkChalc,-4000,28.497017,68.229736,3375,24.5669,346725,.48888889,-.43991423
PkCeraN,-4000,28.497017,68.229736,1750,24.5669,173705,.37777779,-.37750643
IrSusa1,-3900,31.361706,48.732086,801,24.570255,800,.25555557,.23526984
IrSasn2,600,28.497017,68.229736,2600000,24.573629,12700000,.8888889,-.15563031
IqNAssr,600,31.361706,48.732086,1400000,24.573629,6649670,.8888889,.061873138
IrSusa1,-4000,31.361706,48.732086,1755,24.57579,8000,.25555557,.22144555
IqAbbs1,800,28.497017,68.229736,8300000,24.585806,23000000,1,.6364994
PkChalc,-3700,28.497017,68.229736,2755,24.588163,388478,.48888889,-.44088042
IrMElm2,-1300,31.361706,48.732086,290000,24.59119,995701,.77777779,.2497149
IrSusa2,-3600,31.361706,48.732086,12099,24.601538,10000,.5777778,-.1790977
IqNAssr,-300,31.361706,48.732086,1400000,24.602709,13764657,.8888889,.0490622
IrSeleu,-300,38.287216,33.17897,3600000,24.602709,30000000,1,.060986161
IrAchae,-300,28.497017,68.229736,3800000,24.602709,17000000,1,.52549195
IrSukkL,-1700,31.361706,48.732086,16616,24.623676,324576,.66666669,.094785735
IrSukkE,-1700,31.361706,48.732086,16231,24.623676,341797,.66666669,.11143893
IrSasn2,500,28.497017,68.229736,3450000,24.624269,8900000,.8888889,-.15563031
IrSasn1,500,28.497017,68.229736,3100000,24.624269,5000000,1,-.15563031
IqNAssr,500,31.361706,48.732086,1400000,24.624269,6662079,.8888889,.061839793
IrElym2,100,31.361706,48.732086,68849,24.633345,957139,.77777779,-.054540128
IqNAssr,100,31.361706,48.732086,1400000,24.633345,7102734,.8888889,.060693458
IrPart1,100,28.497017,68.229736,3000000,24.633345,25000000,1,.14589302
IrPart2,100,39.874771,65.378059,1900000,24.633345,4750000,1,.1585158
UzTimur,1600,39.874771,65.378059,5500000,24.637285,49000000,1,.6364994
IrSafvd,1600,31.361706,48.732086,2700000,24.637285,9000000,1,.6364994
PkChalc,-3900,28.497017,68.229736,2783,24.641247,378496,.48888889,-.43870184
IqNAssr,-900,31.361706,48.732086,1400000,24.646841,5476386,.8888889,.059546679
IrElmCP,-900,31.361706,48.732086,597347,24.646841,2331735,.011111111,.10645459
IrNElm1,-900,31.361706,48.732086,234896,24.646841,2902240,.22222222,.15926665
IrSusa3,-2800,31.361706,48.732086,35677,24.662292,138239,.5777778,-.14893891
IrSusa3,-2700,31.361706,48.732086,34908,24.668089,142053,.5777778,-.14867511
PkCeraN,-4400,28.497017,68.229736,1451,24.670124,181419,.37777779,-.48963425
IrFars,1200,31.361706,48.732086,199448,24.671867,2336020,.84908748,-.08600685
TmKhwrz,1200,39.874771,65.378059,1300000,24.671867,6108954,.44444445,.071333297
IrSeljq,1200,38.287216,33.17897,4000000,24.671867,12100000,1,.6364994
IqAbbs2,1200,31.361706,48.732086,750000,24.671867,3900000,.8888889,.6364994
IrSukkE,-1800,31.361706,48.732086,19360,24.679358,385589,.66666669,.1076224
IrInjui,1400,31.361706,48.732086,144058,24.689095,1718584,.76172155,-.035137065
IrKaraK,1400,31.361706,48.732086,144058,24.689095,1718584,.76172155,-.035137065
